City,Outlet Code
NCR,ADM
HYD,AKA
NCR,ANN
BLR,ARK
HYD,ATL
HYD,ATT
NCR,AVK
BLR,BAG
HYD,BNJ
BLR,BTG
BLR,BVG
CHN,CAR
BLR,CLA
CHN,CPM
BLR,CVR
NCR,CYG
BLR,DCB
HYD,DCH
BLR,DIV
CHN,DLP
HYD,DSL
HYD,DTK
NCR,DWR
BLR,ECN
BLR,ECT
BLR,ECW
BLR,EGL
NCR,EKL
BLR,EST
BLR,ETF
CHN,EXA
HYD,FDN
HYD,FLM
HYD,FSM
NCR,GCN
NCR,GEB
BLR,GSC
HYD,GSM
HYD,HIM
BLR,HSR
BLR,IBC
HYD,IHY
BLR,IND
BLR,ITP
NCR,JAP
NCR,JIG
BLR,JPN
NCR,KAM
NCR,KBB
BLR,KCK
BLR,KNP
BLR,KOR
CHN,KTP
HYD,LTP
BLR,MAN
NCR,NSS
BLR,ORW
NCR,PBF
HYD,PPM
NCR,PRM
BLR,PTP
BLR,RGA
BLR,RMZ
NCR,ROH
BLR,RRR
HYD,SCH
NCR,SCK
NCR,SES
NCR,SFC
BLR,SHV
BLR,SJP
NCR,SKO
HYD,SMR
BLR,STN
BLR,SYH
NCR,VBP
CHN,VEL
BLR,VIR
CHN,VRA
NCR,MOM
BLR,JAY
CHN,NUN
BLR,AYN
CHN,PER
CHN,OPP
BLR,BOM
CHN,MMM
CHN,DLT
HYD,AMZ
NCR,MAY
NCR,TGN
NCR,PTG
BLR,RAJ
NCR,SHA
NCR,HKZ
BLR,WHT
HYD,MFT
HYD,NEX
CHN,PAD
PUN,WST
BLR,FKM
PUN,MTM
HYD,KOK
BLR,FCK
BLR,SIN
PUN,BAV
NCR,LOG
CHN,CRM
PUN,PKN
PUN,KGB
HYD,NKG
BLR,VEG
BLR,MOA
NCR,UEP
NCR,GOT
NCR,DLG
CHN,AMB
NCR,SOG
BLR,BRK
BLR,HSO
NCR,RNE
BLR,GNJ
NCR,CYC
NCR,QTF
NCR,SRI
CHN,FRC
BLR,JAL
NCR,SBG
HYD,PHC
PUN,TAT
NCR,VAI
BLR,BGR
PUN,PAM
